_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total
140,November,Surabaya Selatan,Wonokromo,Puskesmas Jagir,UMUM,444,3241,3685
141,November,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,BATRA,6,57,63
142,November,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,GIGI,44,302,346
143,November,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,GIZI,20,45,65
144,November,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,KIA,71,429,500
145,November,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,LANSIA,11,470,481
146,November,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,PSIKOLOGI,25,45,70
147,November,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,UMUM,178,1573,1751
148,November,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,BATRA,0,51,51
149,November,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,GIGI,74,285,359
150,November,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,GIZI,8,39,47
151,November,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,KIA,31,224,255
152,November,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,LANSIA,19,319,338
153,November,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,PSIKOLOGI,7,42,49
154,November,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,UMUM,187,1832,2019
155,November,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,ANAK,30,261,291
156,November,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,BATRA,4,79,83
157,November,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,GIGI,38,386,424
158,November,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,GIZI,1,14,15
159,November,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,KIA,75,346,421
160,November,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,LANSIA,21,508,529
161,November,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,P2M,1,38,39
162,November,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,PSIKOLOGI,0,3,3
163,November,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,UMUM,203,1308,1511
164,November,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,BATRA,3,100,103
165,November,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,GIGI,69,387,456
166,November,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,GIGI SPESIALIS ,3,453,456
167,November,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,GIZI,12,58,70
168,November,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,KIA,172,988,1160
169,November,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,LANSIA,20,818,838
170,November,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,PARU,0,50,50
171,November,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,PSIKOLOGI,24,70,94
172,November,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,SANITASI,0,1,1
173,November,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,UMUM,401,2556,2957
174,November,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,ANAK,60,469,529
175,November,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,BATRA,1,88,89
176,November,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,GIGI,58,357,415
177,November,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,GIZI,1,8,9
178,November,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,INSTALASI GAWAT DARURAT,37,71,108
179,November,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,KIA,102,677,779
180,November,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,LANSIA,25,702,727
181,November,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,MEDICAL CHECK UP,29,33,62
182,November,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,P2M,1,73,74
183,November,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,PSIKOLOGI,29,42,71
184,November,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,RAWAT INAP,0,19,19
185,November,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,UMUM,276,2432,2708
186,November,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,BATRA,5,156,161
187,November,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,GIGI,29,449,478
188,November,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,GIZI,4,12,16
189,November,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,INSTALASI GAWAT DARURAT,0,2,2
190,November,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,KIA,112,661,773
191,November,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,PARU,0,77,77
192,November,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,PSIKOLOGI,13,38,51
193,November,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,SANITASI,0,1,1
194,November,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,UMUM,313,3297,3610
195,November,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,VCT,63,263,326
196,November,Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,BATRA,0,26,26
197,November,Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,GIGI,80,605,685
198,November,Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,GIZI,24,57,81
199,November,Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,INSTALASI GAWAT DARURAT,23,22,45
200,November,Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,KIA,253,981,1234
201,November,Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,LANSIA,60,1273,1333
202,November,Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,PARU,3,67,70
203,November,Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,PSIKOLOGI,4,26,30
204,November,Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,UMUM,409,2543,2952
205,November,Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,VCT,7,94,101
206,November,Surabaya Utara,Bulak,Puskesmas Kenjeran,BATRA,3,17,20
207,November,Surabaya Utara,Bulak,Puskesmas Kenjeran,GIGI,47,348,395
208,November,Surabaya Utara,Bulak,Puskesmas Kenjeran,GIZI,8,40,48
209,November,Surabaya Utara,Bulak,Puskesmas Kenjeran,INSTALASI GAWAT DARURAT,0,1,1
210,November,Surabaya Utara,Bulak,Puskesmas Kenjeran,KIA,125,600,725
211,November,Surabaya Utara,Bulak,Puskesmas Kenjeran,PSIKOLOGI,6,29,35
212,November,Surabaya Utara,Bulak,Puskesmas Kenjeran,UMUM,230,2316,2546
213,November,Surabaya Timur,Sukolilo,Puskesmas Keputih,BATRA,3,34,37
214,November,Surabaya Timur,Sukolilo,Puskesmas Keputih,GIGI,34,258,292
215,November,Surabaya Timur,Sukolilo,Puskesmas Keputih,GIZI,0,5,5
216,November,Surabaya Timur,Sukolilo,Puskesmas Keputih,KIA,108,627,735
217,November,Surabaya Timur,Sukolilo,Puskesmas Keputih,LANSIA,16,318,334
218,November,Surabaya Timur,Sukolilo,Puskesmas Keputih,PSIKOLOGI,2,4,6
219,November,Surabaya Timur,Sukolilo,Puskesmas Keputih,UMUM,303,1443,1746
220,November,Surabaya Pusat,Genteng,Puskesmas Ketabang,BATRA,4,47,51
221,November,Surabaya Pusat,Genteng,Puskesmas Ketabang,GIGI,48,344,392
222,November,Surabaya Pusat,Genteng,Puskesmas Ketabang,GIZI,0,9,9
223,November,Surabaya Pusat,Genteng,Puskesmas Ketabang,KIA,41,320,361
224,November,Surabaya Pusat,Genteng,Puskesmas Ketabang,LANSIA,20,582,602
225,November,Surabaya Pusat,Genteng,Puskesmas Ketabang,PSIKOLOGI,0,6,6
226,November,Surabaya Pusat,Genteng,Puskesmas Ketabang,UMUM,241,1703,1944
227,November,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,BATRA,1,23,24
228,November,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,GIGI,50,480,530
229,November,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,GIZI,1,12,13
230,November,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,KIA,79,495,574
231,November,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,LANSIA,22,488,510
232,November,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,PSIKOLOGI,5,15,20
233,November,Surabaya Timur,Sukolilo,Puskesmas Klampis Ngasem,UMUM,309,1554,1863
234,November,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,BATRA,0,46,46
235,November,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,GIGI,29,275,304
236,November,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,GIZI,21,57,78
237,November,Surabaya Utara,Krembangan,Puskesmas Krembangan Selatan,INSTALASI GAWAT DARURAT,30,109,139
