_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total
108,September,Surabaya Selatan,Gayungan,Puskesmas Gayungan,LANSIA,24,942,966
109,September,Surabaya Selatan,Gayungan,Puskesmas Gayungan,PSIKOLOGI,1,29,30
110,September,Surabaya Selatan,Gayungan,Puskesmas Gayungan,UMUM,392,2153,2545
111,September,Surabaya Pusat,Bubutan,Puskesmas Gundih,BATRA,0,17,17
112,September,Surabaya Pusat,Bubutan,Puskesmas Gundih,GIGI,13,332,345
113,September,Surabaya Pusat,Bubutan,Puskesmas Gundih,GIZI,1,15,16
114,September,Surabaya Pusat,Bubutan,Puskesmas Gundih,KIA,51,769,820
115,September,Surabaya Pusat,Bubutan,Puskesmas Gundih,LANSIA,4,538,542
116,September,Surabaya Pusat,Bubutan,Puskesmas Gundih,PARU,0,121,121
117,September,Surabaya Pusat,Bubutan,Puskesmas Gundih,PSIKOLOGI,3,14,17
118,September,Surabaya Pusat,Bubutan,Puskesmas Gundih,UMUM,88,2096,2184
119,September,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,BATRA,2,32,34
120,September,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,GIGI,77,350,427
121,September,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,GIZI,14,12,26
122,September,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,INSTALASI GAWAT DARURAT,9,10,19
123,September,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,KIA,150,652,802
124,September,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,LANSIA,23,687,710
125,September,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,PKPR,57,58,115
126,September,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,PSIKOLOGI,50,79,129
127,September,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,RAWAT INAP,0,5,5
128,September,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,UMUM,428,1859,2287
129,September,Surabaya Selatan,Wonokromo,Puskesmas Jagir,BATRA,2,64,66
130,September,Surabaya Selatan,Wonokromo,Puskesmas Jagir,GIGI,158,988,1146
131,September,Surabaya Selatan,Wonokromo,Puskesmas Jagir,GIZI,1,20,21
132,September,Surabaya Selatan,Wonokromo,Puskesmas Jagir,INSTALASI GAWAT DARURAT,46,69,115
133,September,Surabaya Selatan,Wonokromo,Puskesmas Jagir,KIA,240,1215,1455
134,September,Surabaya Selatan,Wonokromo,Puskesmas Jagir,LANSIA,60,1566,1626
135,September,Surabaya Selatan,Wonokromo,Puskesmas Jagir,PSIKOLOGI,4,25,29
136,September,Surabaya Selatan,Wonokromo,Puskesmas Jagir,RAWAT INAP,25,21,46
137,September,Surabaya Selatan,Wonokromo,Puskesmas Jagir,UMUM,400,3545,3945
138,September,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,BATRA,5,81,86
139,September,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,GIGI,44,324,368
140,September,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,GIZI,14,49,63
141,September,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,INSTALASI GAWAT DARURAT,0,1,1
142,September,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,KIA,82,473,555
143,September,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,LANSIA,11,506,517
144,September,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,PSIKOLOGI,22,51,73
145,September,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,UMUM,233,1837,2070
146,September,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,BATRA,2,20,22
147,September,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,GIGI,64,287,351
148,September,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,GIZI,11,32,43
149,September,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,INSTALASI GAWAT DARURAT,2,4,6
150,September,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,KIA,68,237,305
151,September,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,LANSIA,13,297,310
152,September,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,PSIKOLOGI,9,23,32
153,September,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,UMUM,281,1917,2198
154,September,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,ANAK,29,299,328
155,September,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,BATRA,5,101,106
156,September,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,GIGI,49,358,407
157,September,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,GIZI,1,8,9
158,September,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,KIA,93,329,422
159,September,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,LANSIA,33,445,478
160,September,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,P2M,1,28,29
161,September,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,PSIKOLOGI,3,5,8
162,September,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,UMUM,232,1507,1739
163,September,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,BATRA,3,99,102
164,September,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,GIGI,67,412,479
165,September,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,GIGI SPESIALIS ,6,461,467
166,September,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,GIZI,12,56,68
167,September,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,INSTALASI GAWAT DARURAT,0,2,2
168,September,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,KIA,159,964,1123
169,September,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,LANSIA,21,787,808
170,September,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,PARU,3,90,93
171,September,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,PSIKOLOGI,14,57,71
172,September,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,UMUM,309,2673,2982
173,September,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,ANAK,75,532,607
174,September,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,BATRA,3,107,110
175,September,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,GIGI,50,381,431
176,September,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,GIZI,6,15,21
177,September,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,INSTALASI GAWAT DARURAT,50,66,116
178,September,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,KIA,93,611,704
179,September,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,LANSIA,26,656,682
180,September,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,LOKET,1,0,1
181,September,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,MEDICAL CHECK UP,26,39,65
182,September,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,P2M,2,97,99
183,September,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,PSIKOLOGI,23,40,63
184,September,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,RAWAT INAP,2,15,17
185,September,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,UMUM,317,2604,2921
186,September,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,BATRA,2,130,132
187,September,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,GIGI,28,429,457
188,September,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,GIZI,3,35,38
189,September,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,INSTALASI GAWAT DARURAT,25,593,618
190,September,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,KIA,124,672,796
191,September,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,PARU,3,85,88
192,September,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,PSIKOLOGI,11,26,37
193,September,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,SANITASI,1,15,16
194,September,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,UMUM,235,2722,2957
195,September,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,VCT,71,268,339
196,September,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,BATRA,1,53,54
197,September,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,GIGI,81,565,646
198,September,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,GIZI,16,61,77
199,September,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,INSTALASI GAWAT DARURAT,18,22,40
200,September,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,KIA,230,1092,1322
201,September,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,LANSIA,39,1347,1386
202,September,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,PARU,0,45,45
203,September,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,PSIKOLOGI,4,25,29
204,September,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,RAWAT INAP,2,1,3
205,September,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,SANITASI,0,1,1
206,September,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,UMUM,408,2796,3204
207,September,Surabaya Pusat,Karang Pilang,Puskesmas Kedurus,VCT,2,110,112
208,September,Surabaya Utara,Bulak,Puskesmas Kenjeran,BATRA,0,15,15
209,September,Surabaya Utara,Bulak,Puskesmas Kenjeran,GIGI,35,361,396
210,September,Surabaya Utara,Bulak,Puskesmas Kenjeran,GIZI,14,34,48
211,September,Surabaya Utara,Bulak,Puskesmas Kenjeran,KIA,111,620,731
212,September,Surabaya Utara,Bulak,Puskesmas Kenjeran,PSIKOLOGI,10,39,49
213,September,Surabaya Utara,Bulak,Puskesmas Kenjeran,UMUM,220,2212,2432
214,September,Surabaya Timur,Sukolilo,Puskesmas Keputih,BATRA,2,22,24
215,September,Surabaya Timur,Sukolilo,Puskesmas Keputih,GIGI,46,251,297
