_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total Kunjungan
126,April,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,VCT,,,0
127,April,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,BATRA,1,5,6
128,April,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,GIGI,34,97,131
129,April,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,GIZI,,,0
130,April,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,INSTALASI GAWAT DARURAT,,,0
131,April,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,KIA,89,401,490
132,April,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,LABORATORIUM,,,0
133,April,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,LANSIA,15,463,478
134,April,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,MATA,,,0
135,April,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,PKPR,,,0
136,April,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,Poli PCR-SWAB,,,0
137,April,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,PSIKOLOGI,0,1,1
138,April,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,PTRM,,,0
139,April,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,RAWAT INAP,,,0
140,April,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,SANITASI,,,0
141,April,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,STD,,,0
142,April,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,TBC/PARU,,,0
143,April,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,UMUM,208,1092,1300
144,April,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,VCT,,,0
145,April,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,BATRA,0,18,18
146,April,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,GIGI,54,184,238
147,April,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,GIZI,,,0
148,April,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,INSTALASI GAWAT DARURAT,21,13,34
149,April,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,KIA,182,495,677
150,April,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,LABORATORIUM,8,7,15
151,April,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,LANSIA,36,528,564
152,April,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,MATA,,,0
153,April,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,PKPR,,,0
