_id,Bulan,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total
102,Januari,Surabaya Timur,Tambaksari,Puskesmas Gading,VAKSIN D1,0,2,2
103,Januari,Surabaya Selatan,Gayungan,Puskesmas Gayungan,BATRA,1,133,134
104,Januari,Surabaya Selatan,Gayungan,Puskesmas Gayungan,GIGI,39,732,771
105,Januari,Surabaya Selatan,Gayungan,Puskesmas Gayungan,GIZI,4,48,52
106,Januari,Surabaya Selatan,Gayungan,Puskesmas Gayungan,KIA,106,772,878
107,Januari,Surabaya Selatan,Gayungan,Puskesmas Gayungan,LANSIA,27,981,1008
108,Januari,Surabaya Selatan,Gayungan,Puskesmas Gayungan,PSIKOLOGI,3,31,34
109,Januari,Surabaya Selatan,Gayungan,Puskesmas Gayungan,UMUM,524,2631,3155
110,Januari,Surabaya Pusat,Bubutan,Puskesmas Gundih,BATRA,0,11,11
111,Januari,Surabaya Pusat,Bubutan,Puskesmas Gundih,GIGI,11,357,368
112,Januari,Surabaya Pusat,Bubutan,Puskesmas Gundih,GIZI,0,9,9
113,Januari,Surabaya Pusat,Bubutan,Puskesmas Gundih,KIA,63,760,823
114,Januari,Surabaya Pusat,Bubutan,Puskesmas Gundih,LANSIA,7,513,520
115,Januari,Surabaya Pusat,Bubutan,Puskesmas Gundih,PARU,0,110,110
116,Januari,Surabaya Pusat,Bubutan,Puskesmas Gundih,PSIKOLOGI,0,12,12
117,Januari,Surabaya Pusat,Bubutan,Puskesmas Gundih,UMUM,124,2738,2862
118,Januari,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,BATRA,2,53,55
119,Januari,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,GIGI,52,395,447
120,Januari,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,GIZI,9,10,19
121,Januari,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,INSTALASI GAWAT DARURAT,13,10,23
122,Januari,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,KIA,127,594,721
123,Januari,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,LANSIA,20,720,740
124,Januari,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,PKPR,24,38,62
125,Januari,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,PSIKOLOGI,14,33,47
126,Januari,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,RAWAT INAP,1,1,2
127,Januari,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,SANITASI,1,0,1
128,Januari,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,UMUM,764,2709,3473
129,Januari,Surabaya Selatan,Wonokromo,Puskesmas Jagir,BATRA,1,50,51
130,Januari,Surabaya Selatan,Wonokromo,Puskesmas Jagir,GIGI,171,995,1166
131,Januari,Surabaya Selatan,Wonokromo,Puskesmas Jagir,GIZI,4,10,14
132,Januari,Surabaya Selatan,Wonokromo,Puskesmas Jagir,INSTALASI GAWAT DARURAT,40,31,71
133,Januari,Surabaya Selatan,Wonokromo,Puskesmas Jagir,KIA,230,1274,1504
134,Januari,Surabaya Selatan,Wonokromo,Puskesmas Jagir,LANSIA,33,1311,1344
135,Januari,Surabaya Selatan,Wonokromo,Puskesmas Jagir,PSIKOLOGI,6,23,29
136,Januari,Surabaya Selatan,Wonokromo,Puskesmas Jagir,RAWAT INAP,16,21,37
137,Januari,Surabaya Selatan,Wonokromo,Puskesmas Jagir,UMUM,662,3904,4566
138,Januari,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,BATRA,0,40,40
139,Januari,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,GIGI,38,285,323
140,Januari,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,GIZI,13,27,40
141,Januari,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,KIA,54,450,504
142,Januari,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,LANSIA,4,404,408
143,Januari,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,PSIKOLOGI,16,40,56
144,Januari,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,SANITASI,1,0,1
145,Januari,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,UMUM,256,1929,2185
146,Januari,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,BATRA,3,21,24
147,Januari,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,GIGI,57,257,314
148,Januari,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,GIZI,8,31,39
149,Januari,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,INSTALASI GAWAT DARURAT,4,1,5
150,Januari,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,KIA,40,206,246
151,Januari,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,LANSIA,8,330,338
152,Januari,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,PSIKOLOGI,7,22,29
153,Januari,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,UMUM,243,1995,2238
154,Januari,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,ANAK,26,277,303
155,Januari,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,BATRA,2,60,62
156,Januari,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,GIGI,55,305,360
157,Januari,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,GIZI,0,9,9
158,Januari,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,INSTALASI GAWAT DARURAT,1,0,1
159,Januari,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,KIA,74,316,390
160,Januari,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,LANSIA,21,426,447
161,Januari,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,P2M,0,34,34
162,Januari,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,PSIKOLOGI,1,1,2
163,Januari,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,UMUM,494,1831,2325
164,Januari,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,BATRA,3,102,105
165,Januari,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,GIGI,61,404,465
166,Januari,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,GIGI SPESIALIS ,2,456,458
167,Januari,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,GIZI,17,74,91
168,Januari,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,KIA,138,941,1079
169,Januari,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,LANSIA,16,864,880
170,Januari,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,PARU,1,108,109
171,Januari,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,PKPR,0,1,1
172,Januari,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,PSIKOLOGI,23,67,90
173,Januari,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,UMUM,597,3271,3868
174,Januari,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,ANAK,53,478,531
175,Januari,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,BATRA,0,77,77
176,Januari,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,GIGI,42,348,390
177,Januari,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,GIZI,1,6,7
178,Januari,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,INSTALASI GAWAT DARURAT,56,109,165
179,Januari,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,KIA,81,503,584
180,Januari,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,LANSIA,21,647,668
181,Januari,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,MEDICAL CHECK UP,21,23,44
182,Januari,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,P2M,1,72,73
183,Januari,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,PSIKOLOGI,13,30,43
184,Januari,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,RAWAT INAP,3,4,7
185,Januari,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,UMUM,239,2463,2702
186,Januari,Surabaya Selatan,Jambangan,Puskesmas Kebonsari,VAKSIN D1,251,557,808
187,Januari,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,BATRA,6,104,110
188,Januari,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,GIGI,23,404,427
189,Januari,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,GIZI,1,11,12
190,Januari,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,INSTALASI GAWAT DARURAT,2,0,2
191,Januari,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,KIA,110,629,739
192,Januari,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,PARU,0,72,72
193,Januari,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,PSIKOLOGI,4,18,22
194,Januari,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,UMUM,372,3935,4307
195,Januari,Surabaya Pusat,Tegalsari,Puskesmas Kedungdoro,VCT,64,310,374
196,Januari,Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,BATRA,0,34,34
197,Januari,Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,GIGI,82,585,667
198,Januari,Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,GIZI,19,50,69
199,Januari,Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,INSTALASI GAWAT DARURAT,18,23,41
200,Januari,Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,KIA,219,971,1190
201,Januari,Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,LANSIA,52,1314,1366
202,Januari,Surabaya Selatan,Karang Pilang,Puskesmas Kedurus,PARU,0,43,43
