_id,Bulan,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total
140,Desember,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,GIZI,13,27,40
141,Desember,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,KIA,54,450,504
142,Desember,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,LANSIA,4,404,408
143,Desember,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,PSIKOLOGI,16,40,56
144,Desember,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,SANITASI,1,0,1
145,Desember,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,UMUM,256,1929,2185
146,Desember,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,BATRA,3,21,24
147,Desember,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,GIGI,57,257,314
148,Desember,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,GIZI,8,31,39
149,Desember,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,INSTALASI GAWAT DARURAT,4,1,5
150,Desember,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,KIA,40,206,246
151,Desember,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,LANSIA,8,330,338
152,Desember,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,PSIKOLOGI,7,22,29
153,Desember,Surabaya Barat,Lakarsantri,Puskesmas Jeruk,UMUM,243,1995,2238
154,Desember,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,ANAK,26,277,303
155,Desember,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,BATRA,2,60,62
156,Desember,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,GIGI,55,305,360
157,Desember,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,GIZI,0,9,9
158,Desember,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,INSTALASI GAWAT DARURAT,1,0,1
159,Desember,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,KIA,74,316,390
160,Desember,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,LANSIA,21,426,447
161,Desember,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,P2M,0,34,34
162,Desember,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,PSIKOLOGI,1,1,2
163,Desember,Surabaya Timur,Mulyorejo,Puskesmas Kalijudan,UMUM,494,1831,2325
164,Desember,Surabaya Timur,Rungkut,Puskesmas Kalirungkut,BATRA,3,102,105
