_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total
94,Agustus,Surabaya Timur,Tambaksari,Puskesmas Gading,BATRA,3,39,42
95,Agustus,Surabaya Timur,Tambaksari,Puskesmas Gading,DEGENARATIF,1,169,170
96,Agustus,Surabaya Timur,Tambaksari,Puskesmas Gading,GIGI,71,531,602
97,Agustus,Surabaya Timur,Tambaksari,Puskesmas Gading,GIZI,71,90,161
98,Agustus,Surabaya Timur,Tambaksari,Puskesmas Gading,KIA,72,614,686
99,Agustus,Surabaya Timur,Tambaksari,Puskesmas Gading,LANSIA,41,786,827
100,Agustus,Surabaya Timur,Tambaksari,Puskesmas Gading,PARU,6,131,137
101,Agustus,Surabaya Timur,Tambaksari,Puskesmas Gading,PSIKOLOGI,4,31,35
102,Agustus,Surabaya Timur,Tambaksari,Puskesmas Gading,UMUM,384,3663,4047
103,Agustus,Surabaya Timur,Tambaksari,Puskesmas Gading,VAKSIN D1,0,2,2
104,Agustus,Surabaya Selatan,Gayungan,Puskesmas Gayungan,BATRA,0,119,119
105,Agustus,Surabaya Selatan,Gayungan,Puskesmas Gayungan,GIGI,44,755,799
106,Agustus,Surabaya Selatan,Gayungan,Puskesmas Gayungan,GIZI,7,72,79
107,Agustus,Surabaya Selatan,Gayungan,Puskesmas Gayungan,INSTALASI GAWAT DARURAT,1,0,1
108,Agustus,Surabaya Selatan,Gayungan,Puskesmas Gayungan,KIA,160,799,959
109,Agustus,Surabaya Selatan,Gayungan,Puskesmas Gayungan,LANSIA,27,937,964
110,Agustus,Surabaya Selatan,Gayungan,Puskesmas Gayungan,PSIKOLOGI,9,34,43
111,Agustus,Surabaya Selatan,Gayungan,Puskesmas Gayungan,UMUM,340,2071,2411
112,Agustus,Surabaya Pusat,Bubutan,Puskesmas Gundih,BATRA,2,18,20
113,Agustus,Surabaya Pusat,Bubutan,Puskesmas Gundih,GIGI,14,304,318
114,Agustus,Surabaya Pusat,Bubutan,Puskesmas Gundih,GIZI,2,27,29
115,Agustus,Surabaya Pusat,Bubutan,Puskesmas Gundih,KIA,77,790,867
116,Agustus,Surabaya Pusat,Bubutan,Puskesmas Gundih,LANSIA,8,489,497
117,Agustus,Surabaya Pusat,Bubutan,Puskesmas Gundih,PARU,0,73,73
118,Agustus,Surabaya Pusat,Bubutan,Puskesmas Gundih,PSIKOLOGI,13,30,43
119,Agustus,Surabaya Pusat,Bubutan,Puskesmas Gundih,UMUM,88,1872,1960
120,Agustus,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,BATRA,6,49,55
121,Agustus,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,GIGI,69,375,444
122,Agustus,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,GIZI,19,27,46
123,Agustus,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,INSTALASI GAWAT DARURAT,14,5,19
124,Agustus,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,KIA,163,709,872
125,Agustus,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,LANSIA,27,651,678
126,Agustus,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,PKPR,51,58,109
127,Agustus,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,PSIKOLOGI,31,66,97
128,Agustus,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,RAWAT INAP,1,1,2
129,Agustus,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,SANITASI,0,1,1
130,Agustus,Surabaya Timur,Gunung Anyar,Puskesmas Gunung Anyar,UMUM,373,1763,2136
131,Agustus,Surabaya Selatan,Wonokromo,Puskesmas Jagir,BATRA,4,60,64
132,Agustus,Surabaya Selatan,Wonokromo,Puskesmas Jagir,GIGI,177,1022,1199
133,Agustus,Surabaya Selatan,Wonokromo,Puskesmas Jagir,GIZI,5,27,32
134,Agustus,Surabaya Selatan,Wonokromo,Puskesmas Jagir,INSTALASI GAWAT DARURAT,56,80,136
135,Agustus,Surabaya Selatan,Wonokromo,Puskesmas Jagir,KIA,269,1316,1585
136,Agustus,Surabaya Selatan,Wonokromo,Puskesmas Jagir,LANSIA,61,1549,1610
137,Agustus,Surabaya Selatan,Wonokromo,Puskesmas Jagir,PKPR,0,1,1
138,Agustus,Surabaya Selatan,Wonokromo,Puskesmas Jagir,PSIKOLOGI,3,25,28
139,Agustus,Surabaya Selatan,Wonokromo,Puskesmas Jagir,RAWAT INAP,26,34,60
140,Agustus,Surabaya Selatan,Wonokromo,Puskesmas Jagir,UMUM,442,3474,3916
141,Agustus,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,BATRA,7,73,80
142,Agustus,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,GIGI,47,296,343
143,Agustus,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,GIZI,28,44,72
144,Agustus,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,KIA,117,493,610
145,Agustus,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,LANSIA,10,520,530
146,Agustus,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,PSIKOLOGI,29,48,77
147,Agustus,Surabaya Selatan,Wonocolo,Puskesmas Jemursari,UMUM,266,1774,2040
