_id,Periode,Wilayah,Kecamatan,Nama Puskesmas,Poli,Baru,Lama,Total Kunjungan
94,November,Surabaya Barat,Pakal,Puskesmas Benowo,INSTALASI GAWAT DARURAT,0,1,1
95,November,Surabaya Barat,Pakal,Puskesmas Benowo,KIA,172,1060,1232
96,November,Surabaya Barat,Pakal,Puskesmas Benowo,LABORATORIUM,,,0
97,November,Surabaya Barat,Pakal,Puskesmas Benowo,LANSIA,28,649,677
98,November,Surabaya Barat,Pakal,Puskesmas Benowo,MATA,,,0
99,November,Surabaya Barat,Pakal,Puskesmas Benowo,PKPR,,,0
100,November,Surabaya Barat,Pakal,Puskesmas Benowo,Poli PCR-SWAB,,,0
101,November,Surabaya Barat,Pakal,Puskesmas Benowo,PSIKOLOGI,1,9,10
102,November,Surabaya Barat,Pakal,Puskesmas Benowo,PTRM,,,0
103,November,Surabaya Barat,Pakal,Puskesmas Benowo,RAWAT INAP,,,0
104,November,Surabaya Barat,Pakal,Puskesmas Benowo,SANITASI,,,0
105,November,Surabaya Barat,Pakal,Puskesmas Benowo,STD,,,0
106,November,Surabaya Barat,Pakal,Puskesmas Benowo,TBC/PARU,,,0
107,November,Surabaya Barat,Pakal,Puskesmas Benowo,UMUM,255,2151,2406
108,November,Surabaya Barat,Pakal,Puskesmas Benowo,VCT,,,0
109,November,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,BATRA,0,1,1
110,November,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,GIGI,48,439,487
111,November,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,GIZI,1,4,5
112,November,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,INSTALASI GAWAT DARURAT,5,1,6
113,November,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,KIA,168,673,841
114,November,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,LABORATORIUM,,,0
115,November,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,LANSIA,11,252,263
116,November,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,MATA,,,0
117,November,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,PKPR,,,0
118,November,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,Poli PCR-SWAB,,,0
119,November,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,PSIKOLOGI,0,9,9
120,November,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,PTRM,,,0
121,November,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,RAWAT INAP,4,3,7
122,November,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,SANITASI,,,0
123,November,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,STD,,,0
124,November,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,TBC/PARU,,,0
125,November,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,UMUM,267,1695,1962
126,November,Surabaya Utara,Kenjeran,Puskesmas Bulak Banteng,VCT,,,0
127,November,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,BATRA,3,6,9
128,November,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,GIGI,47,172,219
129,November,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,GIZI,0,2,2
130,November,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,INSTALASI GAWAT DARURAT,0,1,1
131,November,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,KIA,138,757,895
132,November,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,LABORATORIUM,,,0
133,November,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,LANSIA,24,521,545
134,November,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,MATA,,,0
135,November,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,PKPR,,,0
136,November,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,Poli PCR-SWAB,,,0
137,November,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,PSIKOLOGI,3,6,9
138,November,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,PTRM,,,0
139,November,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,RAWAT INAP,,,0
140,November,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,SANITASI,,,0
141,November,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,STD,,,0
142,November,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,TBC/PARU,,,0
143,November,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,UMUM,569,1662,2231
144,November,Surabaya Pusat,Tegalsari,Puskesmas Dr. Soetomo,VCT,,,0
145,November,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,BATRA,2,25,27
146,November,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,GIGI,39,312,351
147,November,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,GIZI,2,8,10
148,November,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,INSTALASI GAWAT DARURAT,23,14,37
149,November,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,KIA,169,784,953
150,November,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,LABORATORIUM,8,25,33
151,November,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,LANSIA,63,804,867
152,November,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,MATA,,,0
153,November,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,PKPR,,,0
154,November,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,Poli PCR-SWAB,,,0
155,November,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,PSIKOLOGI,4,24,28
156,November,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,PTRM,,,0
157,November,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,RAWAT INAP,6,39,45
158,November,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,SANITASI,,,0
159,November,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,STD,,,0
160,November,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,TBC/PARU,,,0
161,November,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,UMUM,623,2070,2693
162,November,Surabaya Selatan,Dukuh Pakis,Puskesmas Dukuh Kupang,VCT,,,0
163,November,Surabaya Utara,Krembangan,Puskesmas Dupak,BATRA,2,22,24
164,November,Surabaya Utara,Krembangan,Puskesmas Dupak,GIGI,25,247,272
165,November,Surabaya Utara,Krembangan,Puskesmas Dupak,GIZI,0,27,27
166,November,Surabaya Utara,Krembangan,Puskesmas Dupak,INSTALASI GAWAT DARURAT,19,32,51
167,November,Surabaya Utara,Krembangan,Puskesmas Dupak,KIA,106,802,908
168,November,Surabaya Utara,Krembangan,Puskesmas Dupak,LABORATORIUM,,,0
169,November,Surabaya Utara,Krembangan,Puskesmas Dupak,LANSIA,15,436,451
170,November,Surabaya Utara,Krembangan,Puskesmas Dupak,MATA,,,0
171,November,Surabaya Utara,Krembangan,Puskesmas Dupak,PKPR,,,0
172,November,Surabaya Utara,Krembangan,Puskesmas Dupak,Poli PCR-SWAB,,,0
173,November,Surabaya Utara,Krembangan,Puskesmas Dupak,PSIKOLOGI,10,26,36
174,November,Surabaya Utara,Krembangan,Puskesmas Dupak,PTRM,,,0
175,November,Surabaya Utara,Krembangan,Puskesmas Dupak,RAWAT INAP,20,15,35
176,November,Surabaya Utara,Krembangan,Puskesmas Dupak,SANITASI,,,0
177,November,Surabaya Utara,Krembangan,Puskesmas Dupak,STD,,,0
178,November,Surabaya Utara,Krembangan,Puskesmas Dupak,TBC/PARU,,,0
179,November,Surabaya Utara,Krembangan,Puskesmas Dupak,UMUM,195,1931,2126
180,November,Surabaya Utara,Krembangan,Puskesmas Dupak,VCT,,,0
181,November,Surabaya Timur,Tambaksari,Puskesmas Gading,BATRA,2,20,22
182,November,Surabaya Timur,Tambaksari,Puskesmas Gading,GIGI,39,309,348
183,November,Surabaya Timur,Tambaksari,Puskesmas Gading,GIZI,44,33,77
184,November,Surabaya Timur,Tambaksari,Puskesmas Gading,INSTALASI GAWAT DARURAT,,,0
185,November,Surabaya Timur,Tambaksari,Puskesmas Gading,KIA,176,1118,1294
186,November,Surabaya Timur,Tambaksari,Puskesmas Gading,LABORATORIUM,,,0
187,November,Surabaya Timur,Tambaksari,Puskesmas Gading,LANSIA,32,704,736
188,November,Surabaya Timur,Tambaksari,Puskesmas Gading,MATA,,,0
189,November,Surabaya Timur,Tambaksari,Puskesmas Gading,PKPR,,,0
190,November,Surabaya Timur,Tambaksari,Puskesmas Gading,Poli PCR-SWAB,,,0
191,November,Surabaya Timur,Tambaksari,Puskesmas Gading,PSIKOLOGI,1,10,11
192,November,Surabaya Timur,Tambaksari,Puskesmas Gading,PTRM,,,0
193,November,Surabaya Timur,Tambaksari,Puskesmas Gading,RAWAT INAP,,,0
194,November,Surabaya Timur,Tambaksari,Puskesmas Gading,SANITASI,,,0
195,November,Surabaya Timur,Tambaksari,Puskesmas Gading,STD,,,0
196,November,Surabaya Timur,Tambaksari,Puskesmas Gading,TBC/PARU,,,0
197,November,Surabaya Timur,Tambaksari,Puskesmas Gading,UMUM,378,2680,3058
198,November,Surabaya Timur,Tambaksari,Puskesmas Gading,VCT,,,0
199,November,Surabaya Selatan,Gayungan,Puskesmas Gayungan,BATRA,0,11,11
200,November,Surabaya Selatan,Gayungan,Puskesmas Gayungan,GIGI,68,535,603
201,November,Surabaya Selatan,Gayungan,Puskesmas Gayungan,GIZI,20,58,78
202,November,Surabaya Selatan,Gayungan,Puskesmas Gayungan,INSTALASI GAWAT DARURAT,,,0
203,November,Surabaya Selatan,Gayungan,Puskesmas Gayungan,KIA,136,625,761
204,November,Surabaya Selatan,Gayungan,Puskesmas Gayungan,LABORATORIUM,,,0
205,November,Surabaya Selatan,Gayungan,Puskesmas Gayungan,LANSIA,33,868,901
206,November,Surabaya Selatan,Gayungan,Puskesmas Gayungan,MATA,,,0
207,November,Surabaya Selatan,Gayungan,Puskesmas Gayungan,PKPR,,,0
208,November,Surabaya Selatan,Gayungan,Puskesmas Gayungan,Poli PCR-SWAB,,,0
209,November,Surabaya Selatan,Gayungan,Puskesmas Gayungan,PSIKOLOGI,0,1,1
210,November,Surabaya Selatan,Gayungan,Puskesmas Gayungan,PTRM,,,0
211,November,Surabaya Selatan,Gayungan,Puskesmas Gayungan,RAWAT INAP,,,0
212,November,Surabaya Selatan,Gayungan,Puskesmas Gayungan,SANITASI,,,0
213,November,Surabaya Selatan,Gayungan,Puskesmas Gayungan,STD,,,0
214,November,Surabaya Selatan,Gayungan,Puskesmas Gayungan,TBC/PARU,,,0
215,November,Surabaya Selatan,Gayungan,Puskesmas Gayungan,UMUM,390,1757,2147
216,November,Surabaya Selatan,Gayungan,Puskesmas Gayungan,VCT,,,0
217,November,Surabaya Pusat,Bubutan,Puskesmas Gundih,BATRA,0,4,4
218,November,Surabaya Pusat,Bubutan,Puskesmas Gundih,GIGI,5,281,286
219,November,Surabaya Pusat,Bubutan,Puskesmas Gundih,GIZI,0,1,1
220,November,Surabaya Pusat,Bubutan,Puskesmas Gundih,INSTALASI GAWAT DARURAT,,,0
221,November,Surabaya Pusat,Bubutan,Puskesmas Gundih,KIA,53,647,700
222,November,Surabaya Pusat,Bubutan,Puskesmas Gundih,LABORATORIUM,,,0
223,November,Surabaya Pusat,Bubutan,Puskesmas Gundih,LANSIA,2,461,463
224,November,Surabaya Pusat,Bubutan,Puskesmas Gundih,MATA,,,0
